Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;RIBEIRAO PRETO;AUTO POSTO QUINHONE E YAMAKI LTDA; 02.767.693/0001-78;AVENIDA ANTONIO GOMES DA SILVA JUNIOR;870;;PARQUE RESIDENCIAL LAGOINHA;14095-440;GLP;22/04/2026;130;;R$ / 13 kg;ULTRAGAZ
SE;SP;SANTOS;COMERCIAL ALVORADA CENTER LTDA; 46.198.081/0001-87;AVENIDA AFFONSO PENNA;55;;BOQUEIRAO;11020-000;GLP;20/04/2026;129,9;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTOS;AUTO POSTO PEDRO LESSA LIMITADA; 58.186.198/0001-20;AVENIDA PEDRO LESSA;2231;;EMBARE;11025-003;GLP;20/04/2026;149,9;;R$ / 13 kg;ULTRAGAZ
SE;SP;SANTOS;COMERCIO E SERVICOS AUTOMOTIVOS TROPICAL LTDA.; 52.864.790/0001-57;AVENIDA NOSSA SENHORA DE FATIMA;61/63;;CHICO DE PAULA;11085-202;GLP;20/04/2026;125;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTOS;AUTO POSTO JABUCA LTDA; 47.773.510/0001-65;AVENIDA DR WALDEMAR LEAO;280;;JABAQUARA;11013-600;GLP;20/04/2026;138;;R$ / 13 kg;ULTRAGAZ
SE;SP;SANTOS;LINHA UM PRODUTOS DE PETROLEO LTDA; 45.046.547/0001-66;AVENIDA NS DE FATIMA;635;;AREIA BRANCA;11085-203;GLP;20/04/2026;129,9;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO JOSE DO RIO PRETO;VITORIA COMERCIO DE DERIVADOS DE PETROLEO LTDA.; 64.545.346/0001-58;AVENIDA DOUTOR ANTONIO MARQUES DOS SANTOS;1041;;JARDIM SEYON;15050-500;GLP;20/04/2026;120;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO CECAP LTDA; 55.873.269/0001-74;AVENIDA FORTUNATO ERNESTO VETORAZZO;650;;JARDIM RESIDENCIAL VETORASSO;15040-300;GLP;20/04/2026;139;;R$ / 13 kg;ULTRAGAZ
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO UNIVERSITÁRIO LTDA.; 45.099.165/0001-09;AVENIDA BRIGADEIRO FARIA LIMA;5928;;VILA  SAO  MANOEL;15090-000;GLP;20/04/2026;119;;R$ / 13 kg;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO ZAFANI RIO PRETO LTDA; 03.389.606/0001-59;AVENIDA MONTE APRAZIVEL;2890;;ELDORADO;15043-450;GLP;20/04/2026;110;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO VICENTE;CENTRO AUTOMOTIVO MARINAS DE SAO VICENTE LTDA; 06.035.790/0001-27;AVENIDA CAPITAO-MOR AGUIAR;10;;CENTRO;11310-200;GLP;20/04/2026;120;;R$ / 13 kg;CONSIGAZ
SE;SP;SAO VICENTE;AUTO POSTO FERREIRA AMADO LTDA; 71.105.498/0001-03;RUA GUARANI;11;;MATEO BEI;11360-000;GLP;20/04/2026;120;;R$ / 13 kg;CONSIGAZ
SE;SP;SAO VICENTE;AUTO POSTO ANTONIO EMERICK LTDA.; 71.089.890/0001-06;AVENIDA ANTONIO EMMERICH;46;;JARDIM GUASSU;11390-000;GLP;20/04/2026;129,9;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO VICENTE;AUTO POSTO CIDADE NAUTICA LTDA; 46.076.527/0001-09;RUA FREI GASPAR;3;;CIDADE NAUTICA;11350-000;GLP;20/04/2026;119,9;;R$ / 13 kg;BRANCA
SE;SP;SAO VICENTE;AUTO POSTO ITARARE DE SAO VICENTE LTDA; 04.550.260/0001-91; MARTINS FONTES;1572;;BEIRA MAR;11340-010;GLP;20/04/2026;129,9;;R$ / 13 kg;LIQUIGÁS
SE;SP;VALINHOS;FLORENCE AUTO POSTO LTDA; 58.759.994/0001-04;AVENIDA INVERNADA;750;ANEXO ESQ CAMPOS SALLES;NACOES;13271-450;GLP;22/04/2026;115;;R$ / 13 kg;BRANCA
SE;SP;VALINHOS;FANTINATO & FANTINATO LTDA; 71.909.410/0001-06;AVENIDA ROSA BELMIRO RAMOS;27;;RIBEIRO;13275-400;GLP;22/04/2026;117,99;;R$ / 13 kg;BRANCA
SE;SP;VALINHOS;AUTO POSTO DAMIZADE LIMITADA; 04.920.729/0001-37;AVENIDA JOAQUIM ALVES CORREA;4306;;NOVA SUICA;13271-430;GLP;22/04/2026;140;;R$ / 13 kg;ULTRAGAZ
N;AM;MANACAPURU;PALMEIRA & CIA LTDA; 04.455.630/0003-73;BOULEVARD PEDRO RATTES;1176;;SAO JOSE;69400-755;GLP;22/04/2026;130;;R$ / 13 kg;AMAZONGÁS
N;AM;MANACAPURU;PALMEIRA & CIA LTDA; 04.455.630/0001-01;BOULEVARD PEDRO RATES DE OLIVEIRA;460;;CENTRO;69400-282;GLP;23/04/2026;130;;R$ / 13 kg;AMAZONGÁS
N;AM;MANAUS;H W COMERCIO DE PETROLEO LTDA; 08.827.132/0001-01;RUA BARAO DE INDAIA;712;;FLORES;69065-000;GLP;21/04/2026;128;;R$ / 13 kg;AMAZONGÁS
